No,Profile_ID,Date_time,Aspect,X-Coordinate (m),Y-Coordinate (m),Elevation (m a.s.l.),Slope_angle (degrees),Profile_class,5-class_Stability,RB_score,RB_release_type,Fracture_plane_quality,S2008_1 [RB],S2008_2 [RT],S2008_3 [Lemons],3-class_Stability [sum S2008: 1+2+3],4-class_Stability [Techel],RB_height (cm),Snow_depth (cm),Slab_thickness (cm),FL_Thickness (cm),AL_Thickness (cm),FL_Grain_size_avg (mm),AL_Grain_size_avg (mm),FL_Grain_size_max (mm),AL_Grain_size_max (mm),FL_Grain_type1,FL_Grain_type2,FL_Hardness,FL_Top_Height (cm),FL_Bottom_Height (cm),AL_Top_Height (cm),AL_Bottom_Height (cm),AL_Hardness,Hard_Diff,Abs_Hard_Diff,Grain_Size_Diff (mm),FL_location,Lemon1_E,Lemon2_R,Lemon3_F,Lemon4_dE,Lemon5_dR,Lemon6_FLD,Lemons_FL,Whumpfs,Cracks,Avalanche_activity,LN_Local_danger_level_nowcast,LN_rounded,RF_Regional _danger_level_forecast,Deviation [LN-RF],SNPK_Index,SNPK_Index_Class,HN24 (cm),HN3d (cm)
34,9254,13-03-2002 11:30,NNE,690300,159800,2710,31,3,5,6,3,1,0,0,0,3,4,140,165,25,5,65,0.25,0.25,0.5,0.5,3,3,2.5,145,140,140,75,3.5,-1,1,0,0,0,0,0,0,0,1,1,0,0,0,1.5,2,2,0,0.951,4,0,0
35,9251,13-03-2002 14:00,NNE,689305,159015,2710,36,7,4,5,1,1,0,1,1,1,3,52,153,101,25,1,2,0.75,3,1,5,9,1,52,27,53,52,3,2,2,1.625,1,1,1,1,1,1,0,5,0,0,0,1.5,2,2,0,1.432,3,0,0
36,7001,18-03-2002 09:30,N,791260,188900,2510,38,7,3,5,1,1,0,1,0,2,3,61,115,54,3,15.8,0.75,0.5,1.5,0.75,4,9,1,61,58,76.8,61,3,2,2,0.5,1,0,1,1,0,1,1,4,0,0,0,1.5,2,2,0,1.739,2,0,0
37,7003,18-03-2002 10:45,N,791175,188925,2500,33,7,4,6,3,1,0,0,0,3,4,79,128,49,7,0.1,0.25,0.5,0.5,1,3,3,2.5,86,79,79,78.9,3,-0.5,0.5,0.375,0,0,0,0,0,0,1,1,0,0,0,1.5,2,2,0,1.928,2,0,0
38,7004,18-03-2002 12:00,NNE,790900,189080,2390,34,2,4,6,2,1,0,0,0,3,4,84,125,41,13,0.2,0.25,0.5,0.5,1,3,3,1.5,97,84,84,83.8,2.5,-1,1,0.375,0,0,1,0,0,0,1,2,0,0,0,1.5,2,2,0,1.559,3,0,0
39,7005,18-03-2002 13:30,NNW,791090,189110,2350,35,7,4,6,3,1,0,0,0,3,4,62,117,55,1,10,0.5,0.5,1,0.5,4,9,1,62,61,72,62,2.5,1.5,1.5,0.25,1,0,1,1,0,0,1,3,0,0,0,1.5,2,2,0,1.416,3,0,0
40,7019,20-03-2002 10:50,NE,789220,183220,2390,36,1,2,3,1,1,1,1,1,1,2,45,112,67,20,2,2,1.5,4,2,5,9,1,45,25,47,45,2.5,1.5,1.5,1.25,1,1,1,1,1,0,1,5,1,0,1,3,3,3,0,1.877,2,39,41
41,7022,20-03-2002 13:15,NNE,788380,183800,2565,38,7,2,2,2,1,1,0,0,2,2,123,175,52,3,1,0.75,0.5,2,0.75,2,2,1.5,126,123,123,122,2.5,-1,1,0.75,0,1,1,0,1,0,1,4,1,1,1,3,3,3,0,1.457,3,52,57
42,7643,28-11-2002 09:45,NE,788725,183275,2470,35,7,4,6,3,1,0,0,0,3,4,101,160.1,59.1,19,13,0.5,1,0.5,1.5,3,3,2,120,101,101,88,4,-2,2,0.75,0,0,0,0,1,1,1,3,0,0,0,1,1,3,-2,0.667,5,0,19
43,7644,28-11-2002 11:50,NW,789000,182515,2775,32,4,4,6,3,1,0,0,0,3,4,62,149.1,87.1,2,1,0.5,0.5,1,1,9,7,1.5,62,60,63,62,1.5,0,0,0,1,0,1,1,0,0,1,3,0,0,0,2,2,3,-1,0.667,5,2,5
44,7645,3/12/2002 11:45,WSW,790140,187290,2630,31,4,5,6,3,1,0,0,0,3,4,87,142,55,17,1.5,0.5,0.75,0.75,1,3,2,2,104,87,87,85.5,3,-1,1,0.25,0,0,0,0,0,0,1,1,0,0,0,2,2,2,0,0.5,5,7,11
45,7646,5/12/2002 10:15,NE,784420,182855,2415,37,4,4,6,3,1,0,0,0,3,4,99,145,46,12.8,7,0.25,0.25,0.5,0.5,3,3,1.5,111.8,99,99,92,2,-0.5,0.5,0,0,0,1,0,0,0,1,2,0,0,0,1,1,2,-1,0.5,5,0,7
46,7228,11/12/2002 12:00,NW,792025,183360,2580,38,6,5,6,3,1,0,0,0,3,4,167,193.2,26.2,11,0.3,0.5,0.5,1,0.5,4,3,1.5,178,167,167,166.7,2,-0.5,0.5,0.25,0,0,1,1,0,0,1,3,0,0,0,1,1,2,-1,0.5,5,0,0
47,7229,11/12/2002 14:45,NW,791700,184275,2640,34,3,4,4,2,1,0,0,0,3,4,137.5,154,16.5,14.5,0.5,0.25,0.25,0.75,0.5,3,4,1,137.5,123,138,137.5,2,1,1,0.125,1,0,1,0,0,0,0,1,0,0,0,1,1,2,-1,1.299,3,2,7.5
48,7237,12/12/2002 11:40,N,791275,187960,2895,41,6,5,6,3,1,0,0,0,3,4,135,189,54,15,50,0.25,0.25,0.5,0.5,3,4,3,150,135,135,85,4,-1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0.667,5,0,3
49,7647,16-12-2002 09:50,NE,780630,189640,2688,35,6,4,6,3,1,0,0,0,3,4,116,173,57,3,1,0.75,1,1.5,1,4,7,1.5,116,113,117,116,4,2.5,2.5,0.125,1,0,1,1,0,1,1,4,0,0,0,1,1,2,-1,0.667,5,2,3
50,7650,3/1/2003 12:30,N,789060,182460,2815,41,4,1,2,1,1,1,1,1,1,1,150,190,40,2,0.2,12,0.5,15,0.5,6,6,1,152,150,150,149.8,2,-1,1,13,0,1,1,1,1,0,1,5,0,1,1,3,3,3,0,1.76,2,0,3
51,9392,7/1/2003 11:30,S,790684,185239,2460,40,6,4,4,2,1,0,0,0,3,4,108,125,17,26,2,0.57,0.51,5,0.51,4,4,1.5,108,82,110,108,3,1.5,1.5,2.275,1,1,1,1,1,0,0,4,1,0,0,2,2,2,0,1.798,2,3,63
52,9393,7/1/2003 14:00,NNW,791600,185550,2715,30,6,2,3,1,1,1,1,1,1,2,100,175,75,1,32,1,0.25,4,0.75,6,6,1,100,99,132,100,3,2,2,2,1,1,1,1,1,1,1,6,1,0,0,3,3,2,1,1.568,3,0,3.5
53,9394,7/1/2003 14:00,W,791620,185620,2700,36,6,2,2,1,1,1,1,1,1,1,124,162,38,0.8,18,6,0.5,8,0.5,6,6,1,124.8,124,124,106,3.5,-2.5,2.5,6.5,0,1,1,1,1,1,1,6,1,0,0,3,3,2,1,1.791,2,0,3.5
54,7030,13-01-2003 09:50,NNW,778450,184895,2513,32,6,5,6,3,2,0,0,0,3,4,31,93,62,6,0.5,2,2,3,2,4,4,1,31,25,31.5,31,2.5,1.5,1.5,0.5,1,1,1,1,0,0,1,4,0,0,1,2,2,2,0,2.242,2,0,0
55,7031,13-01-2003 11:00,NNW,778520,185040,2450,36,4,5,6,3,2,0,0,0,3,4,69,101,32,4,1,1,1,2,1,4,4,1,69,65,70,69,2.5,1.5,1.5,0.5,1,1,1,1,0,0,1,4,0,0,0,2,2,2,0,2.378,2,0,0
56,7032,13-01-2003 13:00,NNE,778415,185055,2465,33,6,4,5,2,1,0,0,1,2,4,141,191,50,2,11,15,0.75,22,1.5,6,6,1,143,141,141,130,2,-1,1,17.375,0,1,1,1,1,0,1,5,0,0,0,2,2,2,0,1.559,3,0,0
57,7062,15-01-2003 09:15,ESE,778143,184675,2529,40,6,4,6,3,1,0,0,0,3,4,116,156,40,27.8,18,0.25,0.5,0.5,0.5,3,3,1,143.8,116,116,98,2,-1,1,0.125,0,0,1,0,0,0,1,2,0,0,0,1,1,2,-1,0.5,5,0,4.5
58,7063,15-01-2003 10:40,S,778219,184820,2492,39,6,4,2,2,1,1,0,0,2,2,137,156,19,1,0.3,1,0.5,2,0.5,2,1,1,138,137,137,136.7,1,0,0,1,0,1,1,0,1,0,1,4,0,0,0,1.5,2,2,0,0.5,5,0,4.5
59,7064,15-01-2003 12:25,E,778373,185228,2465,34,6,4,6,3,1,0,0,1,2,4,81.5,159,77.5,0.5,5.5,2,0.75,8,1,4,6,1,82,81.5,81.5,76,1.5,-0.5,0.5,4.125,0,1,1,1,1,0,1,5,1,0,0,2,2,2,0,1.39,3,0,4.5
60,7065,15-01-2003 15:10,NNE,778900,185085,2360,31,4,2,2,1,1,1,1,1,1,1,103,132,29,1,9,6,1,12,1,6,6,1,104,103,103,94,1,0,0,8,0,1,1,1,1,0,1,5,1,0,1,2,2,2,0,2.053,2,0,4.5
61,7066,15-01-2003 16:10,NNE,778980,185185,2294,32,6,3,7,1,1,0,1,1,1,4,109,155,46,1,9,8,0.5,12,0.75,6,6,1,110,109,109,100,2,-1,1,9.375,0,1,1,1,1,0,1,5,1,0,1,2,2,2,0,1.579,3,0,4.5
62,7094,16-01-2003 09:35,WSW,777585,184765,2585,32,6,3,4,2,1,0,0,1,2,4,76,98,22,1,0.3,8,1,10,1,6,6,1,77,76,76,75.7,1.5,-0.5,0.5,8,0,1,1,1,1,0,1,5,0,0,0,1.5,2,2,0,2.004,2,0,4.5
63,7095,16-01-2003 10:20,SSW,777668,184688,2568,37,6,4,2,1,1,1,1,0,1,1,77,80,3,11,3,0.5,0.5,1,1,4,4,1,77,66,80,77,4,3,3,0,1,0,1,1,0,1,0,3,0,0,0,1.5,2,2,0,2.346,2,0,4.5
64,7097,16-01-2003 12:25,SE,777836,184470,2577,42,7,2,2,1,1,1,1,1,1,1,103.4,125,21.6,0.6,17.4,1,0.5,3,0.5,9,6,1,104,103.4,103.4,86,4,-3,3,1.5,0,1,1,1,1,1,1,6,0,0,0,1.5,2,2,0,2.014,2,0,4.5
65,7098,16-01-2003 14:45,SE,778300,184857,2487,38,6,4,3,2,3,1,0,0,2,3,121,132,11,9,2,0.5,0.5,0.75,0.75,3,4,1,130,121,121,119,1.5,-0.5,0.5,0,0,0,1,0,0,0,0,1,1,0,0,1.5,2,2,0,1.369,3,0,4.5
66,7099,16-01-2003 16:00,N,779140,184820,2355,32,4,3,4,1,1,0,1,1,1,3,131,174,43,1,1,10,1.5,12,2.5,6,6,1,132,131,131,130,1,0,0,9,0,1,1,1,1,0,1,5,0,0,1,2,2,2,0,2.021,2,0,4.5
67,6687,17-01-2003 08:50,NE,778439,185036,2478,33,6,4,6,3,1,0,0,1,2,4,111.5,180,68.5,1.3,0.3,15,0.5,22,1,6,6,1,112.8,111.5,111.5,111.2,1.5,-0.5,0.5,17.75,0,1,1,1,1,0,1,5,0,0,0,1.5,2,2,0,1.45,3,0,0
68,7110,7/2/2003 9:40,S,779454,184827,2340,32,7,2,3,1,1,1,1,1,1,2,77,144,67,7,3,1,0.75,2,1.5,9,9,1,77,70,80,77,4,3,3,0.375,1,1,1,1,0,1,1,5,1,1,1,3.5,4,4,0,1.788,2,9.5,44
69,7111,7/2/2003 11:20,E,779725,185072,2223,22,6,3,5,1,1,0,1,1,1,3,40.8,112,71.2,2.8,0.2,4,0.5,6,0.5,5,5,1,40.8,38,41,40.8,2,1,1,4.5,1,1,1,1,1,0,1,5,1,1,1,3.5,4,4,0,1.522,3,7,36.5
70,7112,7/2/2003 12:50,NE,780093,185313,2058,28,2,2,3,1,1,1,1,0,1,2,58.2,155.2,97,1.8,13.2,15,2,20,3,9,6,1,60,58.2,58.2,45,1,0,0,15,0,1,1,1,1,0,0,4,1,1,1,3.5,4,4,0,2.027,2,18,56
71,7113,7/2/2003 14:00,E,780194,185237,2032,31,1,2,3,1,1,1,1,0,1,2,66,125,59,5.5,2,0.5,0.5,0.75,1,4,9,1,71.5,66,66,64,3,-2,2,0.125,0,0,1,1,0,1,1,4,1,1,1,3.5,4,4,0,1.909,2,18,56
72,7114,7/2/2003 15:00,NE,780270,185327,1995,33,1,3,5,2,1,0,0,0,3,4,87,152,65,10,9,0.5,0.5,1,0.75,9,9,1.5,87,77,96,87,2,0.5,0.5,0.125,1,0,1,1,0,0,1,3,1,1,1,3.5,4,4,0,1.814,2,18,56
73,7141,17-02-2003 09:30,ESE,778090,184950,2570,33,3,5,6,3,1,0,0,0,3,4,70,136,66,4,15,0.5,0.25,1,0.5,9,9,2.5,70,66,85,70,3,0.5,0.5,0.375,1,0,0,1,0,0,1,2,0,0,0,1,1,2,-1,1.826,2,1,1
74,7142,17-02-2003 10:40,E,778323,185287,2494,38,6,5,6,3,3,0,0,0,3,4,111,201,90,29,6,0.5,0.25,0.5,0.5,3,3,3,140,111,111,105,3.5,-0.5,0.5,0.125,0,0,0,0,0,0,1,1,0,0,0,1,1,2,-1,1.044,4,1,1
75,7143,17-02-2003 12:00,NNE,778479,185324,2439,39,3,5,6,3,1,0,0,0,3,4,163,188,25,11,47,0.25,0.25,0.5,0.5,3,4,2,174,163,163,116,2.5,-0.5,0.5,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,-1,1.491,3,1,1
76,7144,17-02-2003 13:35,NNW,778519,185041,2448,35,6,5,6,3,1,0,0,1,2,4,106,152,46,1,11,3,1,10,2,9,6,1,107,106,106,95,1,0,0,5,0,1,1,1,1,0,1,5,0,0,0,1,1,2,-1,2.257,2,1,1
77,7146,17-02-2003 15:55,SE,778715,184717,2483,36,6,5,6,3,1,0,0,0,3,4,142,191,49,5,19,0.5,0.25,0.75,0.5,3,2,1.5,142,137,161,142,4,2.5,2.5,0.25,1,0,1,0,0,1,1,3,0,0,0,1,1,2,-1,1.243,4,1,1
78,7175,18-02-2003 09:00,WSW,777612,184782,2612,35,2,3,5,1,1,0,1,1,1,3,39.5,88,48.5,8.5,0.5,1.5,1,2.5,1,9,5,1,39.5,31,40,39.5,2,1,1,1,1,1,1,1,1,0,1,5,0,0,0,1,1,2,-1,1.861,2,0,2
79,7176,18-02-2003 09:45,SSW,777680,184685,2593,36,7,4,6,2,3,0,0,0,3,4,100,138,38,6,27.7,0.5,0.5,0.75,0.5,3,4,2,100,94,127.7,100,3,1,1,0.125,1,0,0,0,0,0,1,1,0,0,0,1,1,2,-1,2.046,2,0,2
80,7177,18-02-2003 11:00,WNW,777760,184400,2568,32,6,4,4,2,1,0,0,1,2,4,98,115,17,1,3.6,1.5,0.5,2.5,1,5,9,1,98,97,101.6,98,3.5,2.5,2.5,1.25,1,1,1,1,1,1,0,5,0,0,0,1,1,2,-1,2.268,2,0,1
81,7178,18-02-2003 12:15,SSE,778266,184866,2515,34,6,5,5,2,3,0,0,0,3,4,212,233,21,9,7,0.5,0.5,1,0.75,3,2,1.5,221,212,212,205,2.5,-1,1,0.125,0,0,1,0,0,0,1,2,0,0,0,1,1,2,-1,1.044,4,0,1
82,7179,18-02-2003 14:00,ESE,778602,185204,2412,36,6,5,6,3,3,0,0,0,3,4,153,213,60,37,50,0.25,0.25,0.5,0.5,3,3,2.5,190,153,153,103,3.5,-1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,-1,0.945,4,0,1
83,7180,18-02-2003 15:00,NNE,779287,185270,2213,38,7,5,6,3,1,0,0,0,3,4,116,155,39,11.5,0.2,0.25,0.5,0.75,1,3,4,1.5,127.5,116,116,115.8,2,-0.5,0.5,0.25,0,0,1,0,0,0,1,2,0,0,0,1,1,2,-1,1.881,2,0,0
84,7181,18-02-2003 16:00,NNW,779562,185327,2094,36,1,4,5,3,1,0,0,0,3,4,97,127,30,4,8,0.5,0.25,1,0.5,3,4,1.5,97,93,105,97,2,0.5,0.5,0.375,1,0,1,0,0,0,1,2,0,0,0,1,1,2,-1,1.974,2,0,3
85,6688,19-02-2003 09:25,SW,777589,184804,2586,35,6,5,6,3,3,0,0,0,3,4,152,228,76,8,14.6,0.5,0.5,1,0.75,9,4,2,152,144,166.6,152,2.5,0.5,0.5,0.125,1,0,0,1,0,0,1,2,0,0,0,1,1,2,-1,1.225,4,0,1
86,7206,20-02-2003 09:45,W,782437,175886,2965,42,6,4,4,2,1,0,0,1,2,4,129,145,16,44,9,2,0.5,3,0.75,5,9,1,129,85,138,129,4,3,3,1.875,1,1,1,1,1,1,0,5,0,0,0,1,1,2,-1,2.167,2,0,12.5
87,7207,20-02-2003 10:40,S,782443,175704,2904,32,6,5,6,3,3,0,0,0,3,4,45,116,71,29,25,1,1,2,1.5,9,5,1.5,74,45,45,20,3,-1.5,1.5,0.25,0,1,1,1,0,0,1,4,0,0,0,1,1,2,-1,2.244,2,0,13.5
88,7208,20-02-2003 12:00,NW,782096,175496,2752,40,6,4,4,2,1,0,0,1,2,4,169.8,192,22.2,0.8,0.2,2,0.5,3,0.75,9,5,1,169.8,169,170,169.8,3,2,2,1.875,1,1,1,1,1,1,1,6,0,0,0,1,1,2,-1,2.389,2,0,0
89,7210,20-02-2003 14:20,SW,781291,174799,2390,34,6,5,6,3,1,0,0,0,3,4,85,146,61,21,0.5,0.75,1,1,1,9,9,1,106,85,85,84.5,2.5,-1.5,1.5,0.125,0,0,1,1,0,0,1,3,0,0,0,1,1,2,-1,1.809,2,0,0
